tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
882906231379296256,82,1,29,0,1154,0
882906226790510592,42,10,287,0,1187,0
882906226413023232,200,25,359,0,6302,0
882906224840237056,110,0,298,0,97,0
882906222055313409,165,36,256,0,804,0
882906217114480640,47578,159,1344,0,21193,0
882906216057274369,344,15,666,0,41702,0
882906213205278720,732,12,2285,0,8853,0
882906211477110784,66,1,256,0,219,0
882906209866498050,48,2,218,0,3497,0
882906209530949632,2011,399,3037,0,12313,0
882906208855891968,8914,91,3205,0,1809,0
882906201238917122,233,13,540,0,17213,0
882906200286744576,13536,24,104,0,5199,0
882906188706447360,194,27,26,0,899,0
882906187653554177,154,5,152,0,64,0
882906184973512704,2011,399,3037,0,12313,0
882906184419639296,558,26,500,0,5440,0
882906182599540738,1631,54,35,0,8880,0
882906182159130625,10736,168,3272,0,69794,0
882906180770824193,32,0,135,0,421,0
882906178946314240,6,0,121,0,164,0
882906174772981760,36,4,253,0,2246,0
882906172633882624,8,0,210,0,40,0
882906171736289280,74,1,84,0,3027,0
882906162848559104,323,4,2361,0,81,0
882906162554966017,121,34,373,0,6275,0
882906160818298881,15,0,60,0,226,4
882906159400669184,483,107,255,0,16874,0
882906158029078529,4,0,5,0,0,0
882906156552859649,177,0,105,0,187,0
882906155764273153,61,0,81,0,6813,0
882906152253763587,38900,77,1178,0,22175,0
882906144691425280,23488,84,2243,1,666,0
882906139276578816,13,0,0,0,343,0
882906137007452160,1116,254,869,0,0,0
882906134620676096,425,0,293,0,1473,0
882906129797332993,453,6,34,0,25079,0
882906125435191297,19778,237,4692,0,98555,3
882906125082927104,2049155,2749,0,1,0,4
882906120674832384,83,0,309,0,810,0
882906117520723968,214,0,25,0,45843,0
882906112655106049,699,7,201,0,1130,0
882906109152985088,1107,216,431,0,750,0
882906106967863296,2843,118,2424,0,61921,0
882906106216947714,117,0,215,0,9582,0
882906104144973824,141,9,476,0,6457,0
882906103712841728,37876,186,136,0,7771,0
882906102266023936,6374,15,105,0,830,0
882906087422349312,148,0,243,0,9814,0
882906087099437057,10736,168,3272,0,69794,0
882906079490957312,81,0,192,0,1380,1
882906074222927873,3347,195,1270,0,124220,0
882906073421815808,44,0,320,0,2209,0
882906073279078400,16,0,69,0,879,0
882906068346687488,510,5,368,0,69,0
882906065028894720,45092,220,580,1,8256,0
882906064559013888,165,3,836,0,516,0
882906064525697024,80,2,101,0,70,0
882906054039814144,200,57,61,0,47598,0
882906052252979200,45092,220,580,1,8256,0
882906047484055553,66,1,256,0,219,0
882906046662033409,163,3,184,0,783,0
882906042950197249,6,0,72,0,105,0
882906042652385296,74,1,84,0,3027,0
882906040743809024,756,86,894,0,4617,0
882906038651039744,744,6,4953,0,9,0
882906028039393280,543,5,445,0,35127,0
882906027443634176,1424657,2218,375,1,72,1
882906024759394304,12,0,40,0,707,0
882906024738467840,21,0,59,0,769,0
882906024692391936,867,25,187,0,3962,0
882906024625278980,7,0,91,0,858,0
882906024612700160,8,0,53,0,769,0
882906024570744832,884,24,201,0,3364,0
882906024566562816,12,0,63,0,740,0
882906024545583105,7,0,92,0,827,0
882906024516231168,10,0,51,0,883,0
882906024499437568,9,0,24,0,865,0
882906017125748736,374,13,561,0,2554,0
882906012512010240,287,19,1058,0,11948,0
882906012348317696,2289,339,2289,0,79732,0
882906008221306880,12923,1030,84,0,51,0
882906006057095169,115,0,631,0,1063,0
882905993637703680,1129,72,2926,0,27677,0
882905992987635718,140,0,445,0,21119,0
882905991649546240,157,17,53,0,291,0
882905991284535296,67,0,20,0,47,0
882905990437502976,1155,7,599,0,778,0
882905990093393920,61,0,37,0,1171,0
882905985358102529,304,11,695,0,10734,0
882905983219105792,0,0,74,0,23,0
882905982283788288,3267,160,4880,0,15,0
882905981344038912,62,4,97,0,277,0
882905976344637441,51433,367,50273,0,41987,0
882905974494830593,515,14,70,0,7102,0
882905974478168064,214,0,25,0,45843,0
882905970749394944,264,0,714,0,2669,0
882905968090021888,157,0,168,0,2144,0
882905957403066369,2175,5,1435,0,8931,0
882905957277282304,3155,384,802,0,6890,0
882905952004956161,13520,102,6601,0,13258,0
882905948884312064,515,14,70,0,7102,0
882905939199664128,644,70,599,0,6594,0
882905937157255170,1016,513,737,0,174,0
882905935932383232,68,0,57,0,132,0
882905928248340483,635,32,1338,0,86,0
882905922334535680,342,2,137,0,41379,0
882905918312030208,3307,32,775,0,3652,0
882905912742092800,8981,31,1716,0,548,0
882905910829400065,343,9,591,0,9494,0
882905906052288512,4,0,3,0,1,0
882905904772984833,383,72,1415,0,4436,0
882905903070154752,371,44,544,0,795,0
882905896522612740,77,3,227,0,1289,0
882905895268605952,635,32,1338,0,86,0
882905894102732800,71,0,200,0,5263,0
882905893909794821,3347,195,1270,0,124220,0
882905886791942145,44,1,326,0,629,0
882905884195667969,39,9,180,0,15,0
882905883352510464,552171,629,242,1,967,2
882905878952894464,354,1,307,0,11520,0
882905878352900096,236,4,160,0,13837,0
882905877719560192,34,0,442,0,3682,0
882905875144478721,6965,114,978,0,38140,0
882905867766681600,1283,74,33,0,1656,0
882905867347140608,515,14,70,0,7102,0
882905865186975748,252,52,500,0,24989,0
882905862074802176,610,17,418,0,884,0
882905859587678208,1905,244,220,0,9043,0
882905858723729410,295,71,394,0,29264,0
882905857029152768,39,0,254,0,20,0
882905856303673344,1436,94,540,0,16849,0
882905838448287744,725,33,1160,0,17773,0
882905831695458304,38,1,107,0,16779,0
882905830835630081,708,6,47,0,1760,0
882905827484553217,307,17,274,0,12669,0
882905819221708801,2,0,61,0,272,0
